"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
24271.5765240502,6.28068638082303,0.142730000553757,44.0039680267325,0,0,"ENSG00000099953.10"
560.63289952804,-4.76593568526816,0.121915082340166,-39.0922566247409,0,0,"ENSG00000101605.13"
4825.49642720759,-4.43588157136032,0.105952767151821,-41.8665948101583,0,0,"ENSG00000119927.14"
8521.30539060031,7.12396413389151,0.155006210722482,45.9592173803025,0,0,"ENSG00000123500.10"
1466.87882559446,4.25210697228047,0.111629132926672,38.0913732893871,1.78006121035109e-317,1.62679794013986e-313,"ENSG00000117650.13"
303.138406686182,5.55682736168314,0.152097071305906,36.5347426743473,3.11532417030197e-292,2.37257896603248e-288,"ENSG00000230838.1"
9111.8812253522,-5.02996257948062,0.139620012680303,-36.026085966616,3.26718162540681e-284,2.13276949104235e-280,"ENSG00000022267.19"
15075.3666569575,-3.11089309936535,0.0872433999735919,-35.6576325579585,1.79451808002434e-278,1.0250062958339e-274,"ENSG00000079308.19"
12023.2612909587,6.19677121048247,0.175720536066785,35.2649232081063,2.02639472065316e-272,1.0288456306694e-268,"ENSG00000060718.22"
1539.22497597676,3.85313725150169,0.112276175830534,34.3183869863673,4.17365191649267e-258,1.90715024324132e-254,"ENSG00000090889.12"
753.568149296532,-4.98264729880784,0.145313796945767,-34.2888796764937,1.1494378329921e-257,4.77486925259763e-254,"ENSG00000133800.9"
921.914127192164,4.00705244341341,0.118069301454004,33.9381396693909,1.82500767861064e-252,6.94947715617609e-249,"ENSG00000127564.17"
479.401117236028,4.99096968813921,0.150099875811995,33.2509914557862,1.97505795796872e-242,6.94232872226007e-239,"ENSG00000203805.11"
8565.58779801505,-3.387646096585,0.102914910486164,-32.9169610174265,1.25709754176675e-237,4.10307658364512e-234,"ENSG00000105974.13"
366.259310020615,-4.71098748634947,0.143473608747074,-32.8352198532508,1.85156661674939e-236,5.64048910349088e-233,"ENSG00000134962.7"
6588.55467133145,-3.67075214614383,0.111880201209058,-32.8096670051987,4.28669521192762e-236,1.22425336068145e-232,"ENSG00000095637.22"
3680.0581132685,-2.44201684711348,0.0746769085863965,-32.701097211171,1.5066662196522e-234,4.04983017100042e-231,"ENSG00000170145.5"
1174.99741720298,-3.61236535401477,0.111338483360633,-32.4448945681616,6.39350443042426e-231,1.62306213860131e-227,"ENSG00000169418.10"
2240.45430840051,3.70457800566527,0.114199959141922,32.4393986959435,7.64268911401522e-231,1.83806673192066e-227,"ENSG00000183856.11"
976.378572273845,-5.16011811272236,0.159765749080596,-32.2980247169202,7.45609802639608e-229,1.70353199658084e-225,"ENSG00000173641.18"
444.674133649387,-3.99324973253358,0.123901728851081,-32.2291687901556,6.89031687448201e-228,1.49930014085455e-224,"ENSG00000163815.6"
273.79442262584,-4.63845043146009,0.144844284416034,-32.0237035942483,5.10188208228226e-225,1.05968409886313e-221,"ENSG00000181856.15"
2250.22271520493,-4.12486713196062,0.128826590641471,-32.0187556887248,5.97869158785706e-225,1.18781005263969e-221,"ENSG00000056998.20"
765.632688309162,-5.04218507225602,0.1581964250603,-31.8729394190423,6.33323694389329e-223,1.20582192563002e-219,"ENSG00000120049.20"
4789.18975837049,-3.99195556322317,0.125458678281096,-31.8188874449882,3.54754150999196e-222,6.48419637196331e-219,"ENSG00000131471.7"
2247.23568857839,4.18762841210799,0.131633294557398,31.8128360016242,4.30155482522655e-222,7.55998260533565e-219,"ENSG00000175063.17"
162.437300726045,6.95982202574492,0.219924327819504,31.6464399129913,8.48863184859068e-220,1.43662234193093e-216,"ENSG00000029559.7"
342.079382260657,3.41187824746049,0.108160760546319,31.5445105066487,2.13247938158569e-218,3.48013019076994e-215,"ENSG00000158402.20"
4449.03807684231,3.57261645466238,0.113295672070936,31.5335651341166,3.01270455231097e-218,4.74708739716723e-215,"ENSG00000088325.16"
565.793401264326,-5.21128916119137,0.16558752308401,-31.4715086265736,2.13220458740604e-217,3.24770295405063e-214,"ENSG00000123612.16"
1514.95363085826,3.06223172903514,0.0973898444680543,31.4430292579388,5.22755218473537e-217,7.70558055101558e-214,"ENSG00000105011.9"
1002.35000339892,3.78138390998563,0.120491112794259,31.3830939252957,3.44186840758168e-216,4.91488052763891e-213,"ENSG00000143228.13"
1233.09046282861,3.34863025361315,0.106728471864438,31.3752290753908,4.4063954358752e-216,6.10152240734294e-213,"ENSG00000276043.5"
147.455030985352,-5.06017491501987,0.162866348722015,-31.0694932054793,6.22320261328109e-212,8.36380127687881e-209,"ENSG00000172901.20"
294.125315145228,3.0165725323986,0.0973507939879171,30.9866248525205,8.16297719943638e-211,1.06573498036642e-207,"ENSG00000025423.11"
1332.25210813661,3.21725516642394,0.103833930616321,30.9846227271517,8.68598267494412e-211,1.10251660647659e-207,"ENSG00000077152.11"
